№, Скунда ,Микросекунда
1,14,589424
2,14,599838
3,14,610351
4,14,620867
5,14,631210
6,14,641728
7,14,652386
8,14,662545
9,14,672736
10,14,683090
11,14,693488
12,14,703906
13,14,714230
14,14,724619
15,14,735272
16,14,745450
17,14,755546
18,14,765927
19,14,776066
20,14,786369
21,14,796690
22,14,806923
23,14,817154
24,14,827259
25,14,837477
26,14,847762
27,14,857973
28,14,868064
29,14,878427
30,14,888750
31,14,898962
32,14,909402
33,14,919697
34,14,930017
35,14,940516
36,14,950936
37,14,961199
38,14,971633
39,14,981781
40,14,991876
41,15,2380
42,15,12610
43,15,22919
44,15,33242
45,15,43760
46,15,53848
47,15,63947
48,15,74525
49,15,85103
50,15,95217
51,15,105881
52,15,116368
53,15,126456
54,15,137139
55,15,147413
56,15,157945
57,15,168156
58,15,178547
59,15,188792
60,15,199371
61,15,209468
62,15,219766
63,15,230332
64,15,240703
65,15,251210
66,15,261433
67,15,271682
68,15,282251
69,15,292444
70,15,302844
71,15,313070
72,15,323545
73,15,333944
74,15,344134
75,15,354407
76,15,364994
77,15,375414
78,15,385875
79,15,396070
80,15,406224
81,15,416434
82,15,426988
83,15,437086
84,15,447525
85,15,458074
86,15,468520
87,15,478682
88,15,488905
89,15,499419
90,15,509726
91,15,519856
92,15,530239
93,15,540396
94,15,550499
95,15,560606
96,15,570863
97,15,581084
98,15,591349
99,15,601674
100,15,612138
101,15,622667
102,15,633096
103,15,643685
104,15,653872
105,15,664026
106,15,674456
107,15,684675
108,15,695085
109,15,705614
110,15,716221
111,15,726638
112,15,736850
113,15,747504
114,15,757858
115,15,768440
116,15,779043
117,15,789445
118,15,799994
119,15,810483
120,15,821078
121,15,831352
122,15,841859
123,15,852312
124,15,862608
125,15,873048
126,15,883320
127,15,893491
128,15,904058
129,15,914639
130,15,925281
131,15,935776
132,15,946169
133,15,956425
134,15,966709
135,15,976965
136,15,987360
137,15,997865
138,16,8358
139,16,18541
140,16,28993
141,16,39432
142,16,49655
143,16,59883
144,16,70420
145,16,80737
146,16,91244
147,16,101791
148,16,112192
149,16,122386
150,16,132973
151,16,143465
152,16,154089
153,16,164684
154,16,174861
155,16,185474
156,16,195779
157,16,206105
158,16,216834
159,16,227310
160,16,237403
161,16,247959
162,16,258548
163,16,268812
164,16,279068
165,16,289288
166,16,299972
167,16,310451
168,16,320848
169,16,331253
170,16,341800
171,16,351968
172,16,362517
173,16,373187
174,16,383336
175,16,393562
176,16,403731
177,16,413866
178,16,424121
179,16,434507
180,16,445006
181,16,455116
182,16,465623
183,16,476241
184,16,486811
185,16,496921
186,16,507184
187,16,517535
188,16,527964
189,16,538451
190,16,548930
191,16,559139
192,16,569514
193,16,579782
194,16,590264
195,16,600528
196,16,611041
197,16,621360
198,16,631686
199,16,642246
200,16,652571
201,16,662914
202,16,673421
203,16,683729
204,16,694159
205,16,704283
206,16,714717
207,16,725132
208,16,735354
209,16,745711
210,16,756117
211,16,766647
212,16,776893
213,16,787465
214,16,797643
215,16,807925
216,16,818355
217,16,828469
218,16,838921
219,16,849458
220,16,859789
221,16,870421
222,16,880636
223,16,890844
224,16,901233
225,16,911530
226,16,921731
227,16,932225
228,16,942888
229,16,953063
230,16,963262
231,16,973710
232,16,984238
233,16,994519
234,17,5010
235,17,15144
236,17,25640
237,17,35847
238,17,46252
239,17,56588
240,17,66719
241,17,76799
242,17,87173
243,17,97609
244,17,108169
245,17,118294
246,17,128825
247,17,139065
248,17,149181
249,17,159585
250,17,170191
251,17,180629
252,17,191161
253,17,201679
254,17,213233
255,17,223751
256,17,233954
257,17,244540
258,17,254967
259,17,265262
260,17,275891
261,17,286168
262,17,296497
263,17,307186
264,17,317423
265,17,327556
266,17,337885
267,17,348034
268,17,358258
269,17,368614
270,17,378841
271,17,389515
272,17,399805
273,17,410340
274,17,420539
275,17,430678
276,17,441144
277,17,451756
278,17,462245
279,17,472899
280,17,483481
281,17,493652
282,17,503939
283,17,514457
284,17,525050
285,17,535299
286,17,545465
287,17,555786
288,17,566271
289,17,576746
290,17,587384
291,17,597503
292,17,607758
293,17,617836
294,17,627976
295,17,638224
296,17,648445
297,17,658773
298,17,668891
299,17,679134
300,17,689924
